ID	hgnc_id	symbol	prev_symbol
3634	HGNC:3634	FDPSP3	FPSL3|FDPSL3
3635	HGNC:3635	FDPSP4	FPSL4|CHR39B|FDPSL4
3636	HGNC:3636	FDPSP5	FPSL5|CHR39C|FDPSL5
3637	HGNC:3637	FDPSP6	FDPSP
33487	HGNC:33487	FDPSP7	FDPSL2B
39085	HGNC:39085	FDPSP8	
39086	HGNC:39086	FDPSP9	
39087	HGNC:39087	FDPSP10	
3638	HGNC:3638	FDX1	FDX
3640	HGNC:3640	FDX1P1	ADXP1|FDXP1
3641	HGNC:3641	FDX1P2	FDXP2
30546	HGNC:30546	FDX2	FDX1L
25110	HGNC:25110	FDXACB1	
3642	HGNC:3642	FDXR	ADXR
3647	HGNC:3647	FECH	
3648	HGNC:3648	FECHP1	FECHP
16934	HGNC:16934	FEM1A	
17219	HGNC:17219	FEM1AP1	FEM1DP
39830	HGNC:39830	FEM1AP2	
39831	HGNC:39831	FEM1AP3	
39832	HGNC:39832	FEM1AP4	
3649	HGNC:3649	FEM1B	
16933	HGNC:16933	FEM1C	
3650	HGNC:3650	FEN1	RAD2
3651	HGNC:3651	FEN1P1	FENL1
43894	HGNC:43894	FENDRR	FOXF1-AS1
3655	HGNC:3655	FER	
15801	HGNC:15801	FER1L4	C20orf124
19044	HGNC:19044	FER1L5	
28065	HGNC:28065	FER1L6	
26652	HGNC:26652	FER1L6-AS1	C8orf54
26534	HGNC:26534	FER1L6-AS2	C8orf78
16660	HGNC:16660	FERD3L	
15889	HGNC:15889	FERMT1	C20orf42
15767	HGNC:15767	FERMT2	PLEKHC1
23151	HGNC:23151	FERMT3	
26443	HGNC:26443	FERP1	FERP
3657	HGNC:3657	FES	
3658	HGNC:3658	FETUB	
18562	HGNC:18562	FEV	
3659	HGNC:3659	FEZ1	
3660	HGNC:3660	FEZ2	
22788	HGNC:22788	FEZF1	ZNF312B
41001	HGNC:41001	FEZF1-AS1	
13506	HGNC:13506	FEZF2	ZNF312
4498	HGNC:4498	FFAR1	GPR40
4501	HGNC:4501	FFAR2	GPR43
4499	HGNC:4499	FFAR3	GPR41
19061	HGNC:19061	FFAR4	GPR129|GPR120|O3FAR1
3661	HGNC:3661	FGA	
3662	HGNC:3662	FGB	
3663	HGNC:3663	FGD1	FGDY
3664	HGNC:3664	FGD2	
16027	HGNC:16027	FGD3	
19125	HGNC:19125	FGD4	
19117	HGNC:19117	FGD5	
40410	HGNC:40410	FGD5-AS1	
44498	HGNC:44498	FGD5P1	
21740	HGNC:21740	FGD6	
3665	HGNC:3665	FGF1	FGFA
3676	HGNC:3676	FGF2	FGFB
3681	HGNC:3681	FGF3	INT2
3682	HGNC:3682	FGF4	HSTF1
3683	HGNC:3683	FGF5	
3684	HGNC:3684	FGF6	
3685	HGNC:3685	FGF7	
21455	HGNC:21455	FGF7P1	
17193	HGNC:17193	FGF7P2	FGF7L
26671	HGNC:26671	FGF7P3	
33587	HGNC:33587	FGF7P4	
33588	HGNC:33588	FGF7P5	
27852	HGNC:27852	FGF7P6	
33589	HGNC:33589	FGF7P7	
34516	HGNC:34516	FGF7P8	
3686	HGNC:3686	FGF8	
3687	HGNC:3687	FGF9	
3666	HGNC:3666	FGF10	
49382	HGNC:49382	FGF10-AS1	
3667	HGNC:3667	FGF11	
3668	HGNC:3668	FGF12	FGF12B
40234	HGNC:40234	FGF12-AS1	
40235	HGNC:40235	FGF12-AS2	
40236	HGNC:40236	FGF12-AS3	
3670	HGNC:3670	FGF13	LINC00889
44264	HGNC:44264	FGF13-AS1	
3671	HGNC:3671	FGF14	
40237	HGNC:40237	FGF14-AS1	
44368	HGNC:44368	FGF14-AS2	
42774	HGNC:42774	FGF14-IT1	
3672	HGNC:3672	FGF16	MF4
3673	HGNC:3673	FGF17	
3674	HGNC:3674	FGF18	
3675	HGNC:3675	FGF19	
3677	HGNC:3677	FGF20	
3678	HGNC:3678	FGF21	
3679	HGNC:3679	FGF22	
3680	HGNC:3680	FGF23	
19695	HGNC:19695	FGFBP1	
29451	HGNC:29451	FGFBP2	
23428	HGNC:23428	FGFBP3	C10orf13
3688	HGNC:3688	FGFR1	FLT2|KAL2
23098	HGNC:23098	FGFR1OP2	
39706	HGNC:39706	FGFR1OP2P1	
